sample_index,wall_time_s,elapsed_s,tick,mode_machine,arm0,arm1,arm2,arm3,arm4,arm5,arm6,arm7,arm8,arm9,arm10,arm11,arm12,arm13
716,1782728490.459428310,24.505088065,3499910,5,0.2915762,0.2062965,-0.0100188,0.9878597,0.2146614,0.0509689,-0.0636362,0.2967774,-0.2101793,0.0327409,0.9874522,-0.1184641,0.0642834,0.0480807
717,1782728490.493348598,24.539075450,3499945,5,0.2915762,0.2062965,-0.0100188,0.9878597,0.2146734,0.0509449,-0.0636362,0.2967534,-0.2101554,0.0327409,0.9874522,-0.1184281,0.0642954,0.0480807
718,1782728490.525844336,24.572872749,3499977,5,0.2915642,0.2063084,-0.0100308,0.9878237,0.2146854,0.0509449,-0.0636362,0.2967414,-0.2101554,0.0327529,0.9874522,-0.1184760,0.0642954,0.0480927
719,1782728490.559096098,24.605070605,3500010,5,0.2915642,0.2062965,-0.0100188,0.9878477,0.2146614,0.0509569,-0.0636362,0.2967654,-0.2101554,0.0327169,0.9874522,-0.1184880,0.0643074,0.0480927
720,1782728490.589431763,24.638761340,3500041,5,0.2915642,0.2062965,-0.0100188,0.9878357,0.2146734,0.0509449,-0.0636362,0.2967654,-0.2101554,0.0327409,0.9874522,-0.1185240,0.0642834,0.0480807
721,1782728490.629263878,24.669248774,3500081,5,0.2915762,0.2063084,-0.0100428,0.9878357,0.2146734,0.0509569,-0.0636482,0.2967414,-0.2101674,0.0327409,0.9874522,-0.1185000,0.0642954,0.0480807
722,1782728490.660721779,24.709210077,3500112,5,0.2915762,0.2062965,-0.0100308,0.9878237,0.2146614,0.0509449,-0.0636362,0.2967654,-0.2101554,0.0327289,0.9874522,-0.1185240,0.0642834,0.0480927
723,1782728490.693090200,24.740636804,3500144,5,0.2915642,0.2063084,-0.0100308,0.9878357,0.2146495,0.0509449,-0.0636602,0.2967654,-0.2101554,0.0327409,0.9874402,-0.1185480,0.0642834,0.0480927
724,1782728490.726333141,24.772927943,3500177,5,0.2915522,0.2063084,-0.0100188,0.9878357,0.2146495,0.0509569,-0.0636243,0.2967654,-0.2101554,0.0327409,0.9874762,-0.1185000,0.0643074,0.0480807
725,1782728490.759461403,24.805715450,3500211,5,0.2915522,0.2063084,-0.0100188,0.9878237,0.2146495,0.0509449,-0.0636482,0.2967654,-0.2101554,0.0327289,0.9874522,-0.1185000,0.0642954,0.0480927
726,1782728490.792801142,24.838910202,3500244,5,0.2915642,0.2063084,-0.0100308,0.9878357,0.2146734,0.0509449,-0.0636243,0.2967534,-0.2101793,0.0327529,0.9874522,-0.1185240,0.0642954,0.0480807
727,1782728490.825866699,24.872527719,3500277,5,0.2915642,0.2063084,-0.0100188,0.9878237,0.2146614,0.0509449,-0.0636362,0.2967534,-0.2101793,0.0327289,0.9874522,-0.1185240,0.0642954,0.0480927
728,1782728490.858468771,24.905259032,3500309,5,0.2915642,0.2063084,-0.0100308,0.9878237,0.2146734,0.0509689,-0.0636362,0.2967654,-0.2101554,0.0327169,0.9874522,-0.1185240,0.0642954,0.0480927
729,1782728490.892598391,24.937986921,3500344,5,0.2915522,0.2063084,-0.0100308,0.9878357,0.2146614,0.0509449,-0.0636362,0.2967654,-0.2101554,0.0327289,0.9874522,-0.1185000,0.0642954,0.0480927
730,1782728490.927865267,24.972329517,3500379,5,0.2915642,0.2063084,-0.0100308,0.9878357,0.2146614,0.0509449,-0.0636482,0.2967534,-0.2101554,0.0327169,0.9874522,-0.1185120,0.0642954,0.0480807
731,1782728491.001840115,25.007695058,3500453,5,0.2915762,0.2062965,-0.0100188,0.9878357,0.2146734,0.0509569,-0.0636362,0.2967534,-0.2101793,0.0327289,0.9874522,-0.1184760,0.0642954,0.0480807
